cli-0,cli-0,cli-1,cli-1,cli-2,cli-2
wavelength,counts,wavelength,counts,wavelength,counts
586.5894765297743,20,586.5894765297743,30,586.5894765297743,20
587.0102368120232,-20,587.0102368120232,10,587.0102368120232,20
587.430988699056,-10,587.430988699056,-40,587.430988699056,-60
587.851732168044,50,587.851732168044,60,587.851732168044,70
588.2724671961586,20,588.2724671961586,20,588.2724671961586,30
588.6931937605708,-10,588.6931937605708,0,588.6931937605708,60
589.1139118384522,30,589.1139118384522,0,589.1139118384522,-30
589.5346214069737,0,589.5346214069737,40,589.5346214069737,10
589.9553224433068,90,589.9553224433068,-10,589.9553224433068,10
590.3760149246228,50,590.3760149246228,10,590.3760149246228,40
590.796698828093,-10,590.796698828093,-50,590.796698828093,20
591.2173741308884,50,591.2173741308884,50,591.2173741308884,60
591.6380408101805,0,591.6380408101805,0,591.6380408101805,20
592.0586988431406,20,592.0586988431406,40,592.0586988431406,50
592.4793482069399,60,592.4793482069399,80,592.4793482069399,40
592.8999888787496,-10,592.8999888787496,-60,592.8999888787496,-30
593.3206208357411,-50,593.3206208357411,-30,593.3206208357411,-80
593.7412440550855,20,593.7412440550855,10,593.7412440550855,0
594.1618585139544,20,594.1618585139544,20,594.1618585139544,20
594.5824641895186,20,594.5824641895186,70,594.5824641895186,0
595.0030610589498,60,595.0030610589498,90,595.0030610589498,80
595.4236490994191,60,595.4236490994191,80,595.4236490994191,70
595.8442282880977,40,595.8442282880977,50,595.8442282880977,30
596.264798602157,10,596.264798602157,40,596.264798602157,20
596.6853600187682,20,596.6853600187682,-20,596.6853600187682,20
597.1059125151025,50,597.1059125151025,20,597.1059125151025,50
597.5264560683314,40,597.5264560683314,70,597.5264560683314,40
597.946990655626,40,597.946990655626,40,597.946990655626,20
598.3675162541576,20,598.3675162541576,50,598.3675162541576,10
598.7880328410974,30,598.7880328410974,30,598.7880328410974,10
599.2085403936169,-40,599.2085403936169,10,599.2085403936169,-30
599.6290388888872,-10,599.6290388888872,-30,599.6290388888872,0
600.0495283040796,40,600.0495283040796,0,600.0495283040796,0
600.4700086163652,20,600.4700086163652,30,600.4700086163652,40
600.8904798029156,10,600.8904798029156,70,600.8904798029156,80
601.3109418409018,0,601.3109418409018,20,601.3109418409018,20
601.7313947074953,10,601.7313947074953,0,601.7313947074953,20
602.1518383798672,-30,602.1518383798672,-20,602.1518383798672,-10
602.5722728351888,40,602.5722728351888,40,602.5722728351888,40
602.9926980506314,30,602.9926980506314,40,602.9926980506314,-10
603.4131140033663,70,603.4131140033663,0,603.4131140033663,30
603.8335206705648,-30,603.8335206705648,20,603.8335206705648,30
604.2539180293979,50,604.2539180293979,40,604.2539180293979,-40
604.6743060570374,60,604.6743060570374,40,604.6743060570374,-20
605.0946847306541,-30,605.0946847306541,-20,605.0946847306541,-20
605.5150540274194,10,605.5150540274194,60,605.5150540274194,60
605.9354139245046,30,605.9354139245046,-10,605.9354139245046,-20
606.355764399081,-10,606.355764399081,30,606.355764399081,10
606.7761054283199,0,606.7761054283199,20,606.7761054283199,20
607.1964369893924,-20,607.1964369893924,50,607.1964369893924,20
607.61675905947,40,607.61675905947,20,607.61675905947,40
608.0370716157239,20,608.0370716157239,-20,608.0370716157239,-10
608.4573746353252,50,608.4573746353252,20,608.4573746353252,50
608.8776680954454,20,608.8776680954454,50,608.8776680954454,0
609.2979519732556,30,609.2979519732556,0,609.2979519732556,20
609.7182262459272,10,609.7182262459272,70,609.7182262459272,20
610.1384908906315,80,610.1384908906315,60,610.1384908906315,60
610.5587458845396,10,610.5587458845396,50,610.5587458845396,20
610.9789912048229,60,610.9789912048229,70,610.9789912048229,70
611.3992268286527,120,611.3992268286527,50,611.3992268286527,40
611.8194527332001,50,611.8194527332001,40,611.8194527332001,50
612.2396688956366,40,612.2396688956366,70,612.2396688956366,40
612.6598752931333,70,612.6598752931333,30,612.6598752931333,50
613.0800719028615,50,613.0800719028615,30,613.0800719028615,30
613.5002587019925,-20,613.5002587019925,30,613.5002587019925,-50
613.9204356676976,30,613.9204356676976,10,613.9204356676976,40
614.340602777148,-80,614.340602777148,-30,614.340602777148,-20
614.760760007515,90,614.760760007515,90,614.760760007515,30
615.18090733597,30,615.18090733597,-20,615.18090733597,0
615.6010447396841,80,615.6010447396841,100,615.6010447396841,10
616.0211721958286,40,616.0211721958286,20,616.0211721958286,-20
616.441289681575,30,616.441289681575,30,616.441289681575,10
616.8613971740941,0,616.8613971740941,10,616.8613971740941,10
617.2814946505576,-30,617.2814946505576,50,617.2814946505576,70
617.7015820881365,-10,617.7015820881365,20,617.7015820881365,-40
618.1216594640024,30,618.1216594640024,-10,618.1216594640024,10
618.5417267553262,50,618.5417267553262,50,618.5417267553262,0
618.9617839392794,30,618.9617839392794,40,618.9617839392794,0
619.3818309930332,50,619.3818309930332,30,619.3818309930332,50
619.8018678937589,60,619.8018678937589,50,619.8018678937589,20
620.2218946186277,10,620.2218946186277,70,620.2218946186277,60
620.6419111448109,30,620.6419111448109,70,620.6419111448109,50
621.0619174494799,30,621.0619174494799,20,621.0619174494799,10
621.4819135098058,-20,621.4819135098058,10,621.4819135098058,0
621.90189930296,40,621.90189930296,20,621.90189930296,20
622.3218748061137,10,622.3218748061137,70,622.3218748061137,10
622.7418399964381,30,622.7418399964381,50,622.7418399964381,70
623.1617948511047,60,623.1617948511047,30,623.1617948511047,20
623.5817393472845,-10,623.5817393472845,20,623.5817393472845,-40
624.001673462149,10,624.001673462149,20,624.001673462149,-10
624.4215971728693,20,624.4215971728693,20,624.4215971728693,20
624.8415104566168,90,624.8415104566168,30,624.8415104566168,30
625.2614132905627,60,625.2614132905627,60,625.2614132905627,0
625.6813056518782,-10,625.6813056518782,-30,625.6813056518782,-40
626.1011875177348,60,626.1011875177348,80,626.1011875177348,70
626.5210588653035,0,626.5210588653035,-20,626.5210588653035,10
626.9409196717559,60,626.9409196717559,40,626.9409196717559,10
627.360769914263,30,627.360769914263,60,627.360769914263,10
627.780609569996,-10,627.780609569996,-20,627.780609569996,-50
628.2004386161265,90,628.2004386161265,40,628.2004386161265,90
628.6202570298256,30,628.6202570298256,30,628.6202570298256,0
629.0400647882644,30,629.0400647882644,30,629.0400647882644,0
629.4598618686144,30,629.4598618686144,20,629.4598618686144,40
629.8796482480469,40,629.8796482480469,10,629.8796482480469,10
630.299423903733,-10,630.299423903733,10,630.299423903733,10
630.7191888128441,50,630.7191888128441,110,630.7191888128441,20
631.1389429525514,30,631.1389429525514,20,631.1389429525514,-20
631.5586863000262,60,631.5586863000262,90,631.5586863000262,10
631.9784188324398,120,631.9784188324398,90,631.9784188324398,70
632.3981405269634,40,632.3981405269634,30,632.3981405269634,40
632.8178513607684,50,632.8178513607684,30,632.8178513607684,30
