Date and Time:                Wed Oct 2 16:27:52.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -15
Model:                        DU401_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.01223
Accumulate Cycle Time (secs): 0.01223
Frequency (Hz):               81.766
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 0 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 8.25
Pixel Readout Time (usecs):   10
Serial Number:                CCD-30953
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                SR-3738
Wavelength (nm):              499.851
Grating Groove Density (l/mm):300.1
Grating Blaze:                500
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



150	0
150.14862	1150.25
150.29724	1153.44
150.44586	1150.28
150.59448	1148.02
150.7431	1149.37
150.89172	1150.6
151.04034	1152.49
151.18896	1154.23
151.33759	1151.27
151.48621	1149.92
151.63481	1148.08
151.78343	1147.15
151.93205	1149.02
152.08067	1150.69
152.22929	1148.15
152.37791	1145.85
152.52654	1148.1
152.67516	1144.28
152.82378	1145.69
152.9724	1148.42
153.12102	1148.99
153.26964	1149.93
153.41826	1149.9
153.56688	1146.95
153.7155	1150.68
153.86412	1149.82
154.01274	1146.2
154.16136	1145.84
154.30998	1145.23
154.4586	1145.5
154.60722	1149.11
154.75584	1148.76
154.90446	1147.56
155.05309	1149.08
155.20169	1149.33
155.35031	1148.45
155.49893	1148.02
155.64755	1148.73
155.79617	1149.54
155.94479	1149.12
156.09341	1148.79
156.24203	1147.77
156.39066	1148.3
156.53928	1148.99
156.6879	1149.34
156.83652	1148.77
156.98514	1148.58
157.13376	1151.34
157.28238	1151.59
157.431	1152.35
157.57962	1148.65
157.72824	1148.21
157.87686	1149.98
158.02548	1150.4
158.1741	1150.97
158.32272	1150.79
158.47134	1150.04
158.61996	1149.72
158.76857	1152.41
158.91719	1152.26
159.06581	1150.17
159.21443	1149.87
159.36305	1150.48
159.51167	1148.8
159.66029	1147.32
159.80891	1146.92
159.95753	1146.68
160.10616	1149.25
160.25478	1149.78
160.4034	1146.94
160.55202	1145.2
160.70064	1145.98
160.84926	1148.78
160.99788	1149.82
161.1465	1146.76
161.29512	1148.58
161.44374	1147.81
161.59236	1146.45
161.74098	1149.19
161.8896	1148.41
162.03822	1146.16
162.18684	1145.78
162.33545	1147.79
162.48407	1147.65
162.63269	1144.71
162.78131	1146.18
162.92993	1151.2
163.07855	1151.08
163.22717	1148.23
163.37579	1149.43
163.52441	1147.97
163.67303	1147.66
163.82166	1148.36
163.97028	1146.92
164.1189	1146.41
164.26752	1149.38
164.41614	1147.65
164.56476	1147.35
164.71338	1145.75
164.862	1148.59
165.01062	1149.34
165.15924	1149
165.30786	1149.95
165.45648	1149.36
165.6051	1148.12
165.75372	1148.99
165.90233	1146.88
166.05095	1145.5
166.19957	1146.15
166.34819	1146.97
166.49681	1147.72
166.64543	1149.39
166.79405	1150.72
166.94267	1151.39
167.09129	1154.6
167.23991	1155.2
167.38853	1153.77
167.53716	1150.8
167.68578	1149.42
167.8344	1149.87
167.98302	1148.11
168.13164	1147.47
168.28026	1149.31
168.42888	1150.58
168.5775	1149.8
168.72612	1149.07
168.87474	1149.83
169.02336	1150.57
169.17198	1150.28
169.32059	1150.04
169.46921	1148.13
169.61783	1151.24
169.76645	1152.88
169.91507	1151.38
170.06369	1148
170.21231	1145.62
170.36093	1147.03
170.50955	1147.65
170.65817	1147.45
170.80679	1148.41
170.95541	1147.3
171.10403	1146.66
171.25266	1148.26
171.40128	1148.34
171.5499	1143.69
171.69852	1140.99
171.84714	1148.03
171.99576	1150.98
172.14438	1148.32
172.293	1145.59
172.44162	1146.7
172.59024	1149.79
172.73886	1150.56
172.88747	1148.73
173.03609	1149.14
173.18471	1147.02
173.33333	1145.59
173.48195	1147.3
173.63057	1147.41
173.77919	1147.58
173.92781	1149.99
174.07643	1149.97
174.22505	1152.25
174.37367	1150.16
174.52229	1148.39
174.67091	1148.48
174.81953	1147.72
174.96815	1147.4
175.11678	1149.42
175.2654	1150.13
175.41402	1148.9
175.56264	1149.35
175.71126	1147.91
175.85988	1147.3
176.0085	1150.28
176.15712	1151.29
176.30574	1146.88
176.45435	1145.69
176.60297	1148.84
176.75159	1146.92
176.90021	1146.41
